GeneSymbol,LFC.ave,regulatory.function,matrix.family,Chromosome,Coverage,Direction,Top10,ori,catogory,Group,Male_biased,Female_biased
EDEM2,-0.9,none,,20,40,2dw_LDtoNS_H_mtof,,LDtoNS_H_mtof,mtof,LDtoNS,0,1
EDEM3,-0.829999983,none,,8,26,2dw_SDT_H_mtof,Top10.dw,SDT_H_mtof,mtof,SDT,0,1
EDF1,-0.87,TF,"mediator, transcription cofactor",17,28,2dw_LDtoNS_H_mtof,,LDtoNS_H_mtof,mtof,LDtoNS,0,1
EDF1,-0.819999993,TF,"mediator, transcription cofactor",17,32,2dw_SDtoNS_H_mtof,,SDtoNS_H_mtof,mtof,SDtoNS,0,1
EDIL3,0.99000001,none,,Z,53,1up_SDtoNS_H_mtof,,SDtoNS_H_mtof,mtof,SDtoNS,1,0
EDIL3,-0.669999987,none,,Z,55,2dw_LD_H_mtof,,LD_H_mtof,mtof,LD,0,1
EDN1,-0.84,none,,2,27,2dw_LDtoNS_H_mtof,,LDtoNS_H_mtof,mtof,LDtoNS,0,1
EDN1,-0.810000002,none,,2,28,2dw_SDtoNS_H_mtof,,SDtoNS_H_mtof,mtof,SDtoNS,0,1
EDN2,-0.92,none,,23,22,2dw_LDtoNS_H_mtof,,LDtoNS_H_mtof,mtof,LDtoNS,0,1
EDN2,-0.970000029,none,,23,27,2dw_SDtoNS_H_mtof,Top10.dw,SDtoNS_H_mtof,mtof,SDtoNS,0,1
EDN3,-0.87,none,,20,11,2dw_LDtoNS_H_mtof,,LDtoNS_H_mtof,mtof,LDtoNS,0,1
EDN3,-0.949999988,none,,20,10,2dw_SDtoNS_H_mtof,Top10.dw,SDtoNS_H_mtof,mtof,SDtoNS,0,1
EDNRA,0.819999993,none,,4,18,1up_LD_H_mtof,,LD_H_mtof,mtof,LD,1,0
EDNRA,0.800000012,none,,4,43,1up_SD_H_mtof,,SD_H_mtof,mtof,SD,1,0
EDNRA,-0.610000014,none,,4,16,2dw_CB_H_mtof,,CB_H_mtof,mtof,CB,0,1
EDNRA,-0.849999994,none,,4,41,2dw_SDtoNS_H_mtof,,SDtoNS_H_mtof,mtof,SDtoNS,0,1
EDNRB,-0.629999995,none,,1,27,2dw_CB_H_mtof,,CB_H_mtof,mtof,CB,0,1
EDNRB,-0.810000002,none,,1,33,2dw_LD_H_mtof,,LD_H_mtof,mtof,LD,0,1
EDNRB,-0.89,none,,1,190,2dw_LDtoNS_H_mtof,,LDtoNS_H_mtof,mtof,LDtoNS,0,1
EDNRB,-0.899999996,none,,1,171,2dw_SDtoNS_H_mtof,,SDtoNS_H_mtof,mtof,SDtoNS,0,1
EEA1,1.870000005,none,,1A,16,1up_SD_H_mtof,Top10.up,SD_H_mtof,mtof,SD,1,0
EEA1,-0.74000001,none,,1A,18,2dw_LD_H_mtof,,LD_H_mtof,mtof,LD,0,1
EED,-0.569999993,TF,"epigenetic factor, polycomp group, transcription cofactor",1,11,2dw_FW_H_mtof,,FW_H_mtof,mtof,FW,0,1
EED,-0.709999979,TF,"epigenetic factor, polycomp group, transcription cofactor",1,19,2dw_SDT_H_mtof,,SDT_H_mtof,mtof,SDT,0,1
