ori,NewName,Species,Season,Sex,Testo,Tissue,Group,Group_tissue
160225_SD_f_Can_CTu1h_Ento_986L.CEL,SDf_E_986L,CAN,SD,female,Testo,Ento,non-breeding female,non-breeding female_Ento
160225_SD_f_Can_CTu1h_Ento_995L.CEL,SDf_E_995L,CAN,SD,female,Testo,Ento,non-breeding female,non-breeding female_Ento
160225_SD_f_Can_CTu1h_HVC_982L.CEL,SDf_H_982L,CAN,SD,female,Testo,HVC,non-breeding female,non-breeding female_HVC
160225_SD_f_Can_CTu1h_HVC_984L.CEL,SDf_H_984L,CAN,SD,female,Testo,HVC,non-breeding female,non-breeding female_HVC
Can_LD_female_ENT_689.CEL,LDf_E_689,CAN,LD,female,NA,Ento,breeding female,breeding female_Ento
Can_LD_female_ENT_697.CEL,LDf_E_697,CAN,LD,female,NA,Ento,breeding female,breeding female_Ento
Can_LD_female_ENT_724.CEL,LDf_E_724,CAN,LD,female,NA,Ento,breeding female,breeding female_Ento
Can_LD_female_ENT_725.CEL,LDf_E_725,CAN,LD,female,NA,Ento,breeding female,breeding female_Ento
Can_LD_female_ENT_730.CEL,LDf_E_730,CAN,LD,female,NA,Ento,breeding female,breeding female_Ento
Can_LD_female_ENT_735.CEL,LDf_E_735,CAN,LD,female,NA,Ento,breeding female,breeding female_Ento
Can_LD_female_HVC_689.CEL,LDf_H_689,CAN,LD,female,NA,HVC,breeding female,breeding female_HVC
Can_LD_female_HVC_697.CEL,LDf_H_697,CAN,LD,female,NA,HVC,breeding female,breeding female_HVC
Can_LD_female_HVC_724.CEL,LDf_H_724,CAN,LD,female,NA,HVC,breeding female,breeding female_HVC
Can_LD_female_HVC_725.CEL,LDf_H_725,CAN,LD,female,NA,HVC,breeding female,breeding female_HVC
Can_LD_female_HVC_730.CEL,LDf_H_730,CAN,LD,female,NA,HVC,breeding female,breeding female_HVC
Can_LD_female_HVC_735.CEL,LDf_H_735,CAN,LD,female,NA,HVC,breeding female,breeding female_HVC
Can_LD_male_ENT_32.CEL,LDm_E_32,CAN,LD,male,NA,Ento,breeding male      ,breeding male      _Ento
Can_LD_male_ENT_34.CEL,LDm_E_34,CAN,LD,male,NA,Ento,breeding male      ,breeding male      _Ento
